PairID,Algorithm,X,Y,Z
1,RRT*,1.58346,-0.025628,0.759731
1,RRT*,1.58397,-0.0244386,0.767677
1,RRT*,1.58434,-0.0232396,0.775669
1,RRT*,1.58458,-0.0220309,0.783705
1,RRT*,1.58467,-0.0208121,0.791783
1,RRT*,1.58461,-0.0195832,0.799902
1,RRT*,1.58441,-0.018344,0.808058
1,RRT*,1.58407,-0.0170944,0.816251
1,RRT*,1.58357,-0.0158342,0.824477
1,RRT*,1.58293,-0.0145633,0.832735
1,RRT*,1.58213,-0.0132817,0.841022
1,RRT*,1.58117,-0.0119893,0.849336
1,RRT*,1.58007,-0.0106859,0.857674
1,RRT*,1.5788,-0.00937161,0.866033
1,RRT*,1.57738,-0.00804633,0.874412
1,RRT*,1.57579,-0.00671007,0.882808
1,RRT*,1.57405,-0.00536284,0.891217
1,RRT*,1.57214,-0.00400468,0.899637
1,RRT*,1.57008,-0.00263565,0.908065
1,RRT*,1.56784,-0.00125583,0.916499
1,RRT*,1.56544,0.000134686,0.924934
1,RRT*,1.56288,0.00153577,0.933369
1,RRT*,1.56015,0.00294728,0.941801
1,RRT*,1.55724,0.00436903,0.950225
1,RRT*,1.55418,0.00580083,0.958639
1,RRT*,1.55094,0.00724247,0.96704
1,RRT*,1.54753,0.00869368,0.975425
1,RRT*,1.54395,0.0101542,0.98379
1,RRT*,1.5402,0.0116238,0.992131
1,RRT*,1.53628,0.013102,1.00045
1,RRT*,1.53218,0.0145886,1.00873
1,RRT*,1.52792,0.0160831,1.01699
1,RRT*,1.52348,0.0175852,1.0252
1,RRT*,1.51887,0.0190945,1.03338
1,RRT*,1.51409,0.0206105,1.04151
1,RRT*,1.50914,0.0221326,1.04959
1,RRT*,1.50402,0.0236605,1.05763
1,RRT*,1.49872,0.0251936,1.06561
1,RRT*,1.49326,0.0267313,1.07353
1,RRT*,1.48762,0.028273,1.08139
1,RRT*,1.48182,0.0298182,1.08919
1,RRT*,1.47584,0.0313663,1.09692
1,RRT*,1.4697,0.0329165,1.10458
1,RRT*,1.46339,0.0344682,1.11216
1,RRT*,1.45692,0.0360207,1.11966
1,RRT*,1.45028,0.0375733,1.12708
1,RRT*,1.44348,0.0391253,1.13441
1,RRT*,1.43651,0.0406759,1.14166
1,RRT*,1.42938,0.0422243,1.14881
1,RRT*,1.4221,0.0437697,1.15586
1,RRT*,1.41465,0.0453113,1.16282
1,RRT*,1.40705,0.0468482,1.16967
1,RRT*,1.3993,0.0483797,1.17641
1,RRT*,1.39139,0.0499048,1.18304
1,RRT*,1.38333,0.0514227,1.18956
1,RRT*,1.37512,0.0529325,1.19596
1,RRT*,1.36676,0.0544332,1.20225
1,RRT*,1.35826,0.0559239,1.2084
1,RRT*,1.34962,0.0574037,1.21444
1,RRT*,1.34084,0.0588717,1.22034
1,RRT*,1.33192,0.0603268,1.2261
1,RRT*,1.32286,0.0617682,1.23174
1,RRT*,1.31367,0.0631948,1.23723
1,RRT*,1.30436,0.0646056,1.24258
1,RRT*,1.29491,0.0659998,1.24779
1,RRT*,1.28534,0.0673762,1.25284
1,RRT*,1.27565,0.068734,1.25775
1,RRT*,1.26584,0.070072,1.26251
1,RRT*,1.25592,0.0713894,1.2671
1,RRT*,1.24588,0.072685,1.27154
1,RRT*,1.23573,0.073958,1.27582
1,RRT*,1.22548,0.0752073,1.27994
1,RRT*,1.21513,0.076432,1.28389
1,RRT*,1.20468,0.0776309,1.28767
1,RRT*,1.19413,0.0788033,1.29128
1,RRT*,1.18349,0.0799481,1.29472
1,RRT*,1.17276,0.0810643,1.29798
1,RRT*,1.16195,0.0821509,1.30107
1,RRT*,1.15105,0.0832071,1.30398
1,RRT*,1.14008,0.0842319,1.30671
1,RRT*,1.12904,0.0852244,1.30925
1,RRT*,1.11792,0.0861836,1.31162
1,RRT*,1.10674,0.0871087,1.3138
1,RRT*,1.0955,0.0879988,1.31579
1,RRT*,1.0842,0.088853,1.31759
1,RRT*,1.07285,0.0896705,1.31921
1,RRT*,1.06144,0.0904505,1.32063
1,RRT*,1.04999,0.091192,1.32187
1,RRT*,1.0385,0.0918944,1.32291
1,RRT*,1.02697,0.0925569,1.32376
1,RRT*,1.01541,0.0931788,1.32441
1,RRT*,1.00382,0.0937592,1.32487
1,RRT*,0.992197,0.0942976,1.32514
1,RRT*,0.980558,0.0947931,1.3252
1,RRT*,0.968903,0.0952453,1.32508
1,RRT*,0.957234,0.0956534,1.32475
1,RRT*,0.945557,0.0960168,1.32423
1,RRT*,0.933876,0.096335,1.32351
1,RRT*,0.922195,0.0966074,1.32259
1,RRT*,0.910517,0.0968336,1.32148
1,RRT*,0.898849,0.097013,1.32017
1,RRT*,0.887192,0.0971451,1.31866
1,RRT*,0.875553,0.0972295,1.31696
1,RRT*,0.863935,0.0972659,1.31506
1,RRT*,0.852341,0.0972539,1.31297
1,RRT*,0.840777,0.097193,1.31068
1,RRT*,0.829247,0.0970831,1.30819
1,RRT*,0.817754,0.0969239,1.30551
1,RRT*,0.806303,0.096715,1.30264
1,RRT*,0.794898,0.0964563,1.29958
1,RRT*,0.783542,0.0961476,1.29633
1,RRT*,0.772241,0.0957888,1.29288
1,RRT*,0.760997,0.0953797,1.28925
1,RRT*,0.749816,0.0949203,1.28544
1,RRT*,0.7387,0.0944105,1.28143
1,RRT*,0.727654,0.0938504,1.27724
1,RRT*,0.716681,0.0932399,1.27287
1,RRT*,0.705786,0.092579,1.26832
1,RRT*,0.694972,0.091868,1.26358
1,RRT*,0.684243,0.0911068,1.25867
1,RRT*,0.673602,0.0902957,1.25359
1,RRT*,0.663054,0.0894348,1.24833
1,RRT*,0.652602,0.0885244,1.24289
1,RRT*,0.642249,0.0875647,1.23729
1,RRT*,0.631999,0.086556,1.23152
1,RRT*,0.621855,0.0854986,1.22558
