PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
166,RRT*,5051,24722,0.00572227,4.10629
167,RRT,65,12612,0.00654502,5.74106
167,RRT*,5057,20544,0.00466784,4.08562
168,RRT,77,20725,0.00458469,6.12816
168,RRT*,5034,25714,0.00784818,3.75517
169,RRT,65,24293,0.00537541,5.11573
169,RRT*,5041,25463,0.00728885,4.57239
170,RRT,69,24253,0.00469159,4.87425
170,RRT*,5053,29489,0.00196618,4.55917
171,RRT,95,23216,0.00627794,7.33853
171,RRT*,5033,19502,0.00713242,2.8976
172,RRT,106,37165,0.00268774,7.0576
172,RRT*,5023,12891,0.0145401,1.58568
173,RRT,99,23578,0.00405201,7.34655
173,RRT*,5036,26124,0.0124564,3.50131
174,RRT,91,31368,0.00213213,4.47394
174,RRT*,5038,8884,0.0338801,0.862427
175,RRT,63,72,0.00718995,4.73581
175,RRT*,5035,29364,0.0067858,3.85701
176,RRT,90,23051,0.00563071,5.01583
176,RRT*,5022,18054,0.0267804,0.790477
177,RRT,88,21032,0.00364263,4.70024
177,RRT*,5051,34939,0.00186197,5.37918
178,RRT,113,27477,0.00316708,9.32911
178,RRT*,5052,37422,0.00216703,5.21231
179,RRT,91,24933,0.00273583,8.00868
179,RRT*,5035,22258,0.00586281,3.47378
180,RRT,59,15121,0.00553045,4.75977
180,RRT*,5049,26521,0.00645588,4.1555
181,RRT,92,23999,0.00235293,4.8824
181,RRT*,5033,5036,0.0313999,0.789691
182,RRT,64,55,0.00225656,5.4063
182,RRT*,5023,5030,0.0151955,1.75223
183,RRT,119,27875,0.00429844,7.69345
183,RRT*,5082,12786,0.00235831,5.25526
184,RRT,66,23895,0.00527515,4.75941
184,RRT*,5033,24803,0.00474127,3.54733
185,RRT,94,25975,0.00206007,5.14837
185,RRT*,5030,5030,0.0801907,0.212166
186,RRT,69,17777,0.00232764,6.14901
186,RRT*,5061,19999,0.00575199,4.57278
187,RRT,54,17280,0.00573034,4.17004
187,RRT*,5057,21997,0.00324164,3.98514
188,RRT,61,36878,0.00410869,4.68403
188,RRT*,5048,25635,0.00369587,3.70407
189,RRT,73,28645,0.00549314,5.77664
189,RRT*,5062,27664,0.00841675,5.16138
190,RRT,74,32291,0.00618017,4.43434
190,RRT*,5033,29,0.00966739,1.49734
191,RRT,133,85,0.00274251,7.84851
191,RRT*,5041,5039,0.00793691,3.87131
192,RRT,92,68,0.00204219,5.6927
192,RRT*,5050,5049,0.00721652,3.80731
193,RRT,112,24,0.00229867,6.72891
193,RRT*,5049,5054,0.00311218,3.75995
194,RRT,90,122,0.00326499,6.15502
194,RRT*,5047,27,0.00259543,4.40398
195,RRT,58,56,0.00623225,3.82081
