PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
118,RRT*,5057,24165,0.00594739,4.18036
119,RRT,67,10317,0.0116749,5.01619
119,RRT*,5050,23373,0.00950425,5.23293
120,RRT,72,14045,0.00259052,5.14584
120,RRT*,5057,22815,0.00401436,3.21699
121,RRT,70,17932,0.00517377,4.67248
121,RRT*,5050,24526,0.00685444,3.88217
122,RRT,64,16312,0.00480697,6.48457
122,RRT*,5041,21290,0.0169426,1.50692
123,RRT,108,22403,0.0039825,4.00761
123,RRT*,5077,23913,0.00448689,3.81734
124,RRT,99,18559,0.00325096,6.9939
124,RRT*,5044,27180,0.00515166,4.05475
125,RRT,149,21228,0.0093047,9.33994
125,RRT*,5060,25883,0.00400135,5.9194
126,RRT,107,17599,0.00401494,8.5173
126,RRT*,5049,12611,0.00707987,2.24154
127,RRT,64,24195,0.00623218,5.07986
127,RRT*,5058,36656,0.0021603,4.8826
128,RRT,87,22308,0.00615449,5.47815
128,RRT*,5074,28975,0.00663096,4.55875
129,RRT,76,20844,0.00840753,4.06925
129,RRT*,5056,19378,0.00214858,4.85652
130,RRT,57,10619,0.00303416,5.57764
130,RRT*,5076,12250,0.00263274,5.54724
131,RRT,90,29310,0.00457669,6.76111
131,RRT*,5073,23314,0.00344054,4.60446
132,RRT,133,21699,0.0029433,6.98482
132,RRT*,5046,18462,0.008373,4.76056
133,RRT,77,15984,0.00231754,4.40442
133,RRT*,5050,21029,0.00515115,4.55146
134,RRT,86,21112,0.00473908,6.59384
134,RRT*,5047,26320,0.00782283,3.43968
135,RRT,69,19354,0.00481509,4.37455
135,RRT*,5063,23856,0.0047215,4.56897
136,RRT,102,19755,0.00283874,5.45054
136,RRT*,5049,27821,0.00348546,4.91049
137,RRT,90,19653,0.00536617,6.37096
137,RRT*,5045,15502,0.0144685,3.31882
138,RRT,51,24980,0.00660374,4.94888
138,RRT*,5047,20708,0.00676276,3.39983
139,RRT,82,14518,0.00386502,4.16389
139,RRT*,5054,17110,0.0101277,2.39511
140,RRT,79,18562,0.00475193,3.25816
140,RRT*,5044,15153,0.00881596,3.99127
141,RRT,87,22677,0.00299798,4.85303
141,RRT*,5056,20148,0.00538591,4.67329
142,RRT,108,25812,0.00378184,6.87411
142,RRT*,5030,9553,0.041519,0.885243
143,RRT,54,15151,0.00666408,5.17841
143,RRT*,5044,19147,0.00664796,4.30136
144,RRT,85,37272,0.00398746,4.96778
144,RRT*,5041,14907,0.0103379,1.95575
145,RRT,104,24320,0.00444052,6.34496
145,RRT*,5033,21211,0.00826024,4.14791
146,RRT,68,18251,0.0101122,3.93416
146,RRT*,5070,25209,0.00520626,3.88696
147,RRT,129,21251,0.00361631,6.70478
147,RRT*,5033,30383,0.00865545,1.77552
148,RRT,72,24422,0.00234072,4.98784
148,RRT*,5049,23062,0.0058038,3.89868
149,RRT,89,23902,0.00533691,6.76232
149,RRT*,5044,15850,0.00575086,3.41629
150,RRT,95,16585,0.00239253,5.14291
150,RRT*,5051,8295,0.00367428,4.93647
151,RRT,87,22282,0.00477214,6.59321
151,RRT*,5048,19064,0.00261947,4.84537
152,RRT,86,24778,0.00267041,4.62302
152,RRT*,5057,24963,0.00632148,4.3932
153,RRT,79,20942,0.00417533,5.50677
153,RRT*,5048,24370,0.00353525,4.68852
154,RRT,88,15085,0.0099913,4.45636
154,RRT*,5044,19398,0.00475486,3.54718
155,RRT,82,16169,0.00377699,5.05837
155,RRT*,5063,21172,0.00391122,4.10402
156,RRT,68,16108,0.00495819,5.05684
156,RRT*,5057,30378,0.00273883,4.70576
157,RRT,92,19423,0.00463059,4.71239
157,RRT*,5047,20411,0.00310757,4.82912
158,RRT,59,20921,0.00508212,4.91817
158,RRT*,5052,24035,0.0054437,4.80338
159,RRT,106,22702,0.00304422,7.80397
159,RRT*,5051,12347,0.0162214,1.68375
160,RRT,69,15542,0.0225327,1.57836
160,RRT*,5034,12955,0.00938189,2.07543
161,RRT,50,14321,0.00581343,4.83122
161,RRT*,5049,21406,0.00354421,4.9765
162,RRT,84,23017,0.00357628,6.48043
162,RRT*,5065,22114,0.00616819,4.87454
163,RRT,55,22446,0.00861453,1.44002
163,RRT*,5036,28188,0.0170291,0.691541
164,RRT,51,15477,0.00867994,2.11213
164,RRT*,5026,17861,0.0272041,0.950659
165,RRT,72,18143,0.00899292,4.1724
165,RRT*,5059,21757,0.00379282,4.04059
166,RRT,66,23839,0.00526225,5.92978
166,RRT*,5039,22511,0.00778866,3.81557
167,RRT,140,22448,0.00374152,4.61977
167,RRT*,5055,14143,0.00372797,4.89338
168,RRT,64,19839,0.00295005,4.35856
168,RRT*,5050,21754,0.00795106,4.44862
169,RRT,117,17288,0.00295349,4.18242
169,RRT*,5055,27531,0.0143315,6.00994
170,RRT,109,21623,0.00403994,5.66409
170,RRT*,5047,26069,0.00985025,4.91084
171,RRT,82,22993,0.00348799,4.66493
171,RRT*,5037,15802,0.00895937,1.99879
172,RRT,78,18628,0.00507366,5.73384
172,RRT*,5049,21817,0.00397241,3.68662
173,RRT,99,9817,0.0180344,7.77691
173,RRT*,5057,27973,0.00884161,4.80876
174,RRT,86,20954,0.00288742,7.39699
174,RRT*,5065,25953,0.00239427,4.80075
175,RRT,87,28766,0.00327011,7.12661
175,RRT*,5065,26434,0.00394399,5.36715
176,RRT,98,28932,0.00301428,5.78877
176,RRT*,5043,27166,0.00734769,4.4732
177,RRT,105,25631,0.00318975,5.17331
177,RRT*,5050,20752,0.00470982,6.81867
178,RRT,37,17222,0.0102495,1.42191
178,RRT*,5037,17009,0.00631736,3.3245
179,RRT,73,15048,0.00534324,4.71736
179,RRT*,5059,23216,0.0056402,3.7564
180,RRT,89,21003,0.00416131,6.08786
180,RRT*,5058,22166,0.00425716,4.69961
181,RRT,105,23941,0.00500361,6.72004
181,RRT*,5074,23878,0.00655922,4.08506
182,RRT,98,31311,0.00294638,8.59302
182,RRT*,5049,19913,0.0115735,2.15
183,RRT,163,26184,0.002072,5.09391
183,RRT*,5064,27271,0.00240344,4.57082
184,RRT,115,16328,0.00487938,7.73313
