PairID,Algorithm,Time,Joint1_Position,Joint1_Velocity,Joint1_Acceleration,Joint2_Position,Joint2_Velocity,Joint2_Acceleration,Joint3_Position,Joint3_Velocity,Joint3_Acceleration,Joint4_Position,Joint4_Velocity,Joint4_Acceleration,Joint5_Position,Joint5_Velocity,Joint5_Acceleration,Joint6_Position,Joint6_Velocity,Joint6_Acceleration,Joint7_Position,Joint7_Velocity,Joint7_Acceleration
1,RRT,2.7,-0.552467,0.612473,-1.94694,1.42396,2.38505,-2.02887,-0.552697,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.70325e-12,-1.05138e-11,3.82862e-11,-1.75561e-11,-1.73577e-11,6.00081e-12,-2.00358e-11
1,RRT,2.8,-0.54987,0.607692,-1.92949,1.41599,2.37713,-2.02614,-0.561853,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.68974e-12,-1.05667e-11,3.82026e-11,-1.76788e-11,-1.74756e-11,5.99455e-12,-2.01173e-11
1,RRT,2.9,-0.547273,0.602912,-1.91203,1.40802,2.3692,-2.0234,-0.571009,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.69087e-12,-1.04773e-11,3.8236e-11,-1.74761e-11,-1.73648e-11,5.99002e-12,-2.00641e-11
1,RRT,3,-0.544676,0.598132,-1.89458,1.40005,2.36128,-2.02067,-0.580165,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.68892e-12,-1.04784e-11,3.82259e-11,-1.7464e-11,-1.73591e-11,5.98873e-12,-2.00574e-11
1,RRT,3.1,-0.542079,0.593351,-1.87713,1.39209,2.35336,-2.01794,-0.589321,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.7261e-12,-1.05411e-11,3.84862e-11,-1.75742e-11,-1.7472e-11,6.02837e-12,-2.01797e-11
1,RRT,3.2,-0.539482,0.588571,-1.85967,1.38412,2.34544,-2.0152,-0.598477,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.72706e-12,-1.05393e-11,3.84604e-11,-1.75686e-11,-1.74566e-11,6.02578e-12,-2.01824e-11
1,RRT,3.3,-0.536885,0.583791,-1.84222,1.37615,2.33752,-2.01247,-0.607632,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.72822e-12,-1.05474e-11,3.85118e-11,-1.75617e-11,-1.74791e-11,6.0278e-12,-2.01856e-11
1,RRT,3.4,-0.534288,0.57901,-1.82477,1.36818,2.32959,-2.00974,-0.616788,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.72966e-12,-1.05458e-11,3.8483e-11,-1.75532e-11,-1.74607e-11,6.02453e-12,-2.01897e-11
1,RRT,3.5,-0.531692,0.57423,-1.80732,1.36021,2.32167,-2.007,-0.625944,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.72493e-12,-1.05439e-11,3.84463e-11,-1.75687e-11,-1.74637e-11,6.02693e-12,-2.01686e-11
1,RRT,3.6,-0.529095,0.56945,-1.78986,1.35224,2.31375,-2.00427,-0.6351,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.73391e-12,-1.05565e-11,3.85197e-11,-1.75587e-11,-1.74675e-11,6.03009e-12,-2.02016e-11
1,RRT,3.7,-0.526498,0.564669,-1.77241,1.34427,2.30583,-2.00154,-0.644256,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.7282e-12,-1.05377e-11,3.84762e-11,-1.75449e-11,-1.74728e-11,6.02542e-12,-2.01748e-11
1,RRT,3.8,-0.523901,0.559889,-1.75496,1.33631,2.2979,-1.9988,-0.653412,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.72806e-12,-1.05457e-11,3.84399e-11,-1.75509e-11,-1.74497e-11,6.01888e-12,-2.0181e-11
1,RRT,3.9,-0.521304,0.555109,-1.7375,1.32834,2.28998,-1.99607,-0.662567,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.71516e-12,-1.05405e-11,3.84661e-11,-1.75219e-11,-1.74535e-11,6.02316e-12,-2.01228e-11
1,RRT,4,-0.518707,0.550328,-1.72005,1.32037,2.28206,-1.99333,-0.671723,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72762e-11,3.18008e-11,-1.16197e-10,5.31248e-11,5.28074e-11,-1.82021e-11,6.0956e-11
1,RRT,4.1,-0.51611,0.545548,-1.7026,1.3124,2.27414,-1.9906,-0.680879,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73133e-11,3.18285e-11,-1.16588e-10,5.31641e-11,5.29309e-11,-1.8246e-11,6.10921e-11
1,RRT,4.2,-0.513513,0.540768,-1.68514,1.30443,2.26622,-1.98787,-0.690035,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73014e-11,3.18444e-11,-1.16288e-10,5.30904e-11,5.27816e-11,-1.82139e-11,6.10076e-11
1,RRT,4.3,-0.510916,0.535987,-1.66769,1.29646,2.25829,-1.98513,-0.699191,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.7302e-11,3.1842e-11,-1.1626e-10,5.30903e-11,5.27876e-11,-1.82138e-11,6.10054e-11
1,RRT,4.4,-0.508319,0.531207,-1.65024,1.2885,2.25037,-1.9824,-0.708347,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73027e-11,3.18475e-11,-1.16293e-10,5.31065e-11,5.27946e-11,-1.82179e-11,6.10027e-11
1,RRT,4.5,-0.505722,0.526427,-1.63279,1.28053,2.24245,-1.97967,-0.717502,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73251e-11,3.18918e-11,-1.1642e-10,5.31655e-11,5.28632e-11,-1.82367e-11,6.10818e-11
1,RRT,4.6,-0.503125,0.521646,-1.61533,1.27256,2.23453,-1.97693,-0.726658,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73285e-11,3.18936e-11,-1.16437e-10,5.31735e-11,5.28594e-11,-1.82391e-11,6.10867e-11
1,RRT,4.7,-0.500528,0.516866,-1.59788,1.26459,2.22661,-1.9742,-0.735814,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73268e-11,3.18959e-11,-1.16459e-10,5.31598e-11,5.28782e-11,-1.82422e-11,6.10927e-11
1,RRT,4.8,-0.497931,0.512086,-1.58043,1.25662,2.21868,-1.97147,-0.74497,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73247e-11,3.18988e-11,-1.16433e-10,5.31691e-11,5.28487e-11,-1.82393e-11,6.10737e-11
1,RRT,4.9,-0.495334,0.507305,-1.56297,1.24865,2.21076,-1.96873,-0.754126,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73297e-11,3.19027e-11,-1.1646e-10,5.31814e-11,5.28717e-11,-1.82434e-11,6.10797e-11
1,RRT,5,-0.492737,0.502525,-1.54552,1.24068,2.20284,-1.966,-0.763282,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73273e-11,3.18896e-11,-1.16425e-10,5.31615e-11,5.28666e-11,-1.82397e-11,6.10879e-11
1,RRT,5.1,-0.49014,0.497745,-1.52807,1.23272,2.19492,-1.96326,-0.772437,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73238e-11,3.1893e-11,-1.16463e-10,5.31778e-11,5.28591e-11,-1.82457e-11,6.10999e-11
1,RRT,5.2,-0.487543,0.492964,-1.51061,1.22475,2.187,-1.96053,-0.781593,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72059e-11,3.16932e-11,-1.15612e-10,5.27982e-11,5.2512e-11,-1.81181e-11,6.06679e-11
1,RRT,5.3,-0.484946,0.488184,-1.49316,1.21678,2.17907,-1.9578,-0.790749,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72112e-11,3.17004e-11,-1.15687e-10,5.27395e-11,5.25127e-11,-1.81186e-11,6.06788e-11
1,RRT,5.4,-0.482349,0.483404,-1.47571,1.20881,2.17115,-1.95506,-0.799905,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72316e-11,3.17279e-11,-1.15971e-10,5.27887e-11,5.27887e-11,-1.81889e-11,6.07207e-11
1,RRT,5.5,-0.479752,0.478623,-1.45826,1.20084,2.16323,-1.95233,-0.809061,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72121e-11,3.16836e-11,-1.15687e-10,5.28012e-11,5.25179e-11,-1.81185e-11,6.06761e-11
1,RRT,5.6,-0.477155,0.473843,-1.4408,1.19287,2.15531,-1.9496,-0.818217,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72133e-11,3.16838e-11,-1.15672e-10,5.28088e-11,5.25032e-11,-1.81186e-11,6.06782e-11
1,RRT,5.7,-0.474558,0.469063,-1.42335,1.18491,2.14738,-1.94686,-0.827373,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72147e-11,3.16923e-11,-1.15688e-10,5.28177e-11,5.25191e-11,-1.81229e-11,6.06807e-11
1,RRT,5.8,-0.471961,0.464282,-1.4059,1.17694,2.13946,-1.94413,-0.836528,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72118e-11,3.16843e-11,-1.15671e-10,5.28102e-11,5.25199e-11,-1.81189e-11,6.06836e-11
1,RRT,5.9,-0.469365,0.459502,-1.38844,1.16897,2.13154,-1.9414,-0.845684,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73011e-11,3.18443e-11,-1.1626e-10,5.3102e-11,5.27838e-11,-1.82134e-11,6.09942e-11
1,RRT,6,-0.466768,0.454722,-1.37099,1.161,2.12362,-1.93866,-0.85484,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72961e-11,3.18405e-11,-1.1626e-10,5.31032e-11,5.27697e-11,-1.82133e-11,6.09889e-11
1,RRT,6.1,-0.464171,0.449941,-1.35354,1.15303,2.1157,-1.93593,-0.863996,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73032e-11,3.18493e-11,-1.16314e-10,5.31048e-11,5.2806e-11,-1.822e-11,6.10094e-11
1,RRT,6.2,-0.461574,0.445161,-1.33608,1.14506,2.10777,-1.93319,-0.873152,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73047e-11,3.18451e-11,-1.16323e-10,5.31068e-11,5.27909e-11,-1.82209e-11,6.10049e-11
1,RRT,6.3,-0.458977,0.440381,-1.31863,1.13709,2.09985,-1.93046,-0.882308,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72975e-11,3.18394e-11,-1.1626e-10,5.31097e-11,5.28077e-11,-1.82128e-11,6.09988e-11
1,RRT,6.4,-0.45638,0.4356,-1.30118,1.12913,2.09193,-1.92773,-0.891463,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72984e-11,3.18308e-11,-1.1626e-10,5.31139e-11,5.27858e-11,-1.82125e-11,6.09896e-11
1,RRT,6.5,-0.453783,0.43082,-1.28373,1.12116,2.08401,-1.92499,-0.900619,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.72998e-11,3.18478e-11,-1.1626e-10,5.31208e-11,5.28116e-11,-1.8212e-11,6.09746e-11
1,RRT,6.6,-0.451186,0.42604,-1.26627,1.11319,2.07609,-1.92226,-0.909775,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73196e-11,3.189e-11,-1.16319e-10,5.315e-11,5.29056e-11,-1.82359e-11,6.10919e-11
1,RRT,6.7,-0.448589,0.421259,-1.24882,1.10522,2.06816,-1.91953,-0.918931,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73637e-11,3.19161e-11,-1.16419e-10,5.32486e-11,5.29178e-11,-1.82732e-11,6.11862e-11
1,RRT,6.8,-0.445992,0.416479,-1.23137,1.09725,2.06024,-1.91679,-0.928087,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73284e-11,3.18985e-11,-1.16447e-10,5.31642e-11,5.28641e-11,-1.82395e-11,6.10816e-11
1,RRT,6.9,-0.443395,0.411699,-1.21391,1.08928,2.05232,-1.91406,-0.937243,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73234e-11,3.18927e-11,-1.16431e-10,5.31545e-11,5.28613e-11,-1.82376e-11,6.10852e-11
1,RRT,7,-0.440798,0.406918,-1.19646,1.08131,2.0444,-1.91133,-0.946398,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.7326e-11,3.18942e-11,-1.16445e-10,5.31599e-11,5.28581e-11,-1.82397e-11,6.10894e-11
1,RRT,7.1,-0.438201,0.402138,-1.17901,1.07335,2.03648,-1.90859,-0.955554,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.7329e-11,3.18961e-11,-1.16463e-10,5.31663e-11,5.28726e-11,-1.82421e-11,6.10944e-11
1,RRT,7.2,-0.435604,0.397358,-1.16155,1.06538,2.02855,-1.90586,-0.96471,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73277e-11,3.18983e-11,-1.16444e-10,5.31537e-11,5.28497e-11,-1.82399e-11,6.10802e-11
1,RRT,7.3,-0.433007,0.392577,-1.1441,1.05741,2.02063,-1.90312,-0.973866,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-1.73007e-11,3.18439e-11,-1.16297e-10,5.30933e-11,5.27789e-11,-1.82138e-11,6.10029e-11
