PairID,Algorithm,X,Y,Z
0,RRT,0.674917,0.00676342,0.997906
0,RRT,0.670788,0.00355199,0.995252
0,RRT,0.666518,0.000487791,0.992475
0,RRT,0.662113,-0.00242458,0.989575
0,RRT,0.657575,-0.00518063,0.986554
0,RRT,0.65291,-0.00777599,0.98341
0,RRT,0.648123,-0.0102064,0.980144
0,RRT,0.643218,-0.0124677,0.976755
0,RRT,0.638201,-0.0145558,0.973245
0,RRT,0.633076,-0.0164669,0.969613
0,RRT,0.627849,-0.0181972,0.965858
0,RRT,0.622525,-0.019743,0.961982
0,RRT,0.617109,-0.0211008,0.957985
0,RRT,0.611608,-0.0222674,0.953866
0,RRT,0.606028,-0.0232394,0.949626
0,RRT,0.600373,-0.0240139,0.945264
0,RRT,0.594651,-0.0245879,0.940782
0,RRT,0.588867,-0.0249586,0.93618
0,RRT,0.583028,-0.0251236,0.931457
0,RRT,0.577139,-0.0250805,0.926614
0,RRT,0.571209,-0.0248269,0.921651
0,RRT,0.565242,-0.0243609,0.91657
0,RRT,0.559246,-0.0236805,0.911369
0,RRT,0.553227,-0.0227841,0.90605
0,RRT,0.547193,-0.0216703,0.900613
0,RRT,0.54115,-0.0203376,0.895058
0,RRT,0.535106,-0.0187851,0.889386
0,RRT,0.529067,-0.0170118,0.883597
0,RRT,0.523041,-0.015017,0.877693
0,RRT,0.517034,-0.0128002,0.871672
0,RRT,0.511054,-0.0103612,0.865538
0,RRT,0.505109,-0.00769981,0.859289
0,RRT,0.499206,-0.00481628,0.852926
0,RRT,0.493351,-0.00171097,0.846451
0,RRT,0.487553,0.00161556,0.839863
0,RRT,0.481819,0.00516246,0.833164
0,RRT,0.476157,0.00892872,0.826355
0,RRT,0.470573,0.012913,0.819437
0,RRT,0.465076,0.0171139,0.812409
0,RRT,0.459672,0.0215297,0.805274
0,RRT,0.45437,0.0261583,0.798033
0,RRT,0.449177,0.0309976,0.790685
0,RRT,0.444099,0.0360451,0.783233
0,RRT,0.439145,0.0412983,0.775678
0,RRT,0.434322,0.046754,0.76802
0,RRT,0.429637,0.0524093,0.760261
0,RRT,0.425098,0.0582608,0.752402
0,RRT,0.42071,0.0643047,0.744445
0,RRT,0.416483,0.0705374,0.73639
0,RRT,0.412423,0.0769525,0.728242
0,RRT,0.408848,0.083002,0.720676
0,RRT,0.405953,0.0882134,0.714242
0,RRT,0.403682,0.0925258,0.708971
0,RRT,0.401984,0.0958913,0.704889
0,RRT,0.40082,0.098274,0.702015
0,RRT,0.400163,0.0996491,0.700362
0,RRT,0.39999,0.100015,0.699922
0,CHOMP,0.221191,-6.3991e-05,0.427976
0,CHOMP,0.220831,0.000833253,0.4285
0,CHOMP,0.219765,0.0035257,0.430077
0,CHOMP,0.218026,0.00801512,0.432724
0,CHOMP,0.215669,0.0143033,0.436472
0,CHOMP,0.212979,0.0217989,0.441
0,CHOMP,0.21041,0.0293255,0.445614
0,CHOMP,0.207971,0.0368474,0.450295
0,CHOMP,0.205665,0.0443613,0.455041
0,CHOMP,0.203489,0.0518636,0.459852
0,CHOMP,0.201445,0.059351,0.464727
0,CHOMP,0.199533,0.0668198,0.469664
0,CHOMP,0.197751,0.0742669,0.474663
0,CHOMP,0.196099,0.0816886,0.479723
0,CHOMP,0.194578,0.0890816,0.484843
0,CHOMP,0.193186,0.0964426,0.490022
0,CHOMP,0.191923,0.103768,0.495259
0,CHOMP,0.190789,0.111055,0.500552
0,CHOMP,0.189782,0.1183,0.5059
0,CHOMP,0.188902,0.125499,0.511303
0,CHOMP,0.188149,0.13265,0.516759
0,CHOMP,0.18752,0.139749,0.522267
0,CHOMP,0.187015,0.146793,0.527825
0,CHOMP,0.186634,0.153779,0.533432
0,CHOMP,0.186375,0.160703,0.539088
0,CHOMP,0.186236,0.167564,0.54479
0,CHOMP,0.186217,0.174356,0.550537
0,CHOMP,0.186316,0.181079,0.556328
0,CHOMP,0.186531,0.187728,0.562161
0,CHOMP,0.186862,0.194301,0.568035
0,CHOMP,0.187307,0.200794,0.573949
0,CHOMP,0.187864,0.207206,0.5799
0,CHOMP,0.188532,0.213533,0.585888
0,CHOMP,0.189309,0.219773,0.59191
0,CHOMP,0.190193,0.225922,0.597966
0,CHOMP,0.191182,0.231979,0.604053
0,CHOMP,0.192275,0.23794,0.61017
0,CHOMP,0.193469,0.243804,0.616316
0,CHOMP,0.194764,0.249568,0.622488
0,CHOMP,0.196155,0.255229,0.628684
0,CHOMP,0.197643,0.260785,0.634904
0,CHOMP,0.199224,0.266233,0.641145
0,CHOMP,0.200896,0.271573,0.647406
0,CHOMP,0.202658,0.276801,0.653684
0,CHOMP,0.204507,0.281915,0.659978
0,CHOMP,0.20644,0.286914,0.666286
0,CHOMP,0.208455,0.291796,0.672607
0,CHOMP,0.210551,0.296558,0.678938
0,CHOMP,0.212724,0.301199,0.685277
0,CHOMP,0.214973,0.305717,0.691622
0,CHOMP,0.217294,0.310111,0.697972
0,CHOMP,0.219686,0.314378,0.704325
0,CHOMP,0.222145,0.318519,0.710678
0,CHOMP,0.22467,0.32253,0.71703
0,CHOMP,0.227257,0.326411,0.723379
0,CHOMP,0.229904,0.33016,0.729722
0,CHOMP,0.232609,0.333777,0.736057
0,CHOMP,0.235369,0.337259,0.742384
0,CHOMP,0.23818,0.340607,0.748698
0,CHOMP,0.241042,0.343819,0.754999
0,CHOMP,0.24395,0.346895,0.761285
0,CHOMP,0.246902,0.349832,0.767552
0,CHOMP,0.249896,0.352632,0.7738
0,CHOMP,0.252928,0.355293,0.780026
0,CHOMP,0.255997,0.357814,0.786228
0,CHOMP,0.259098,0.360196,0.792403
0,CHOMP,0.262231,0.362438,0.79855
0,CHOMP,0.265391,0.364539,0.804667
0,CHOMP,0.268576,0.366499,0.810751
0,CHOMP,0.271783,0.368319,0.816801
0,CHOMP,0.27501,0.369998,0.822814
0,CHOMP,0.278254,0.371536,0.828788
0,CHOMP,0.281513,0.372933,0.83472
0,CHOMP,0.284782,0.37419,0.84061
0,CHOMP,0.288061,0.375307,0.846454
0,CHOMP,0.291346,0.376284,0.852251
0,CHOMP,0.294634,0.377121,0.857998
0,CHOMP,0.297923,0.37782,0.863693
0,CHOMP,0.30121,0.378381,0.869334
0,CHOMP,0.304493,0.378804,0.87492
0,CHOMP,0.307769,0.379091,0.880447
0,CHOMP,0.311035,0.379242,0.885914
0,CHOMP,0.31429,0.379259,0.891319
0,CHOMP,0.31753,0.379141,0.89666
0,CHOMP,0.320753,0.378891,0.901935
0,CHOMP,0.323956,0.37851,0.90714
0,CHOMP,0.327138,0.377998,0.912276
0,CHOMP,0.330296,0.377358,0.917339
0,CHOMP,0.333428,0.37659,0.922327
0,CHOMP,0.336531,0.375696,0.927239
0,CHOMP,0.339602,0.374679,0.932073
0,CHOMP,0.342641,0.373538,0.936826
0,CHOMP,0.345645,0.372277,0.941497
0,CHOMP,0.348611,0.370896,0.946084
0,CHOMP,0.351538,0.369399,0.950584
0,CHOMP,0.354424,0.367786,0.954997
0,CHOMP,0.357267,0.36606,0.95932
0,CHOMP,0.360064,0.364222,0.963551
0,CHOMP,0.362815,0.362276,0.967689
0,CHOMP,0.365516,0.360223,0.971732
0,CHOMP,0.368168,0.358065,0.975678
